POOL_ADDRESS,POOL_NAME,GROSS_LIQUIDITY
0x2b43fe4f41d871fbc75af6e0ce85bce38ff1edc7,Coval-WETH 10000 200,280767.67105033656
0x3730ecd0aa7eb9b35a4e89b032bef80a1a41aa7f,WBTC-renBTC 500 10,280170.65883594716
0x9e0905249ceefffb9605e034b534544684a58be6,HEX-WETH 3000 60,276658.92520044907
0x60594a405d53811d3bc4766596efd80fd545a270,DAI-WETH 500 10,255187.8095266491
0x4c83a7f819a5c37d64b4c5a2f8238ea082fa1f4e,WETH-CRV 10000 200,254769.8114694325
0x9db9e0e53058c89e5b94e29621a205198648425b,WBTC-USDT 3000 60,246184.38883609726
0xe331de28cd81b768c19a366b0e4e4675c45ec2da,XYO-WETH 3000 60,243687.9594028818
0xa8db34b9cb685474e4195c96736d293b3192b1e8,ICHI-USDC 3000 60,233756.56134142156
0xd017617f6f0fd22796e137a8240cc38f52a147b2,WETH-GTC 3000 60,231915.37343585875
0xc5af84701f98fa483ece78af83f11b6c38aca71d,WETH-USDT 10000 200,221215.47255586617
0x82841dfd5c6c4a788db25caddfdcc4530b48336b,BLO-WETH 10000 200,220434.73407087964
0xbd233d685ede81e00faaefebd55150c76778a34e,WETH-DAM 10000 200,217933.08887484728
0xa34f0d0314db32f41e1194816d56d55d1f7ca7b5,PRQ-WETH 10000 200,197036.79802999558
0x6b1c477b4c67958915b194ae8b007bf078dadb81,⚗️-WETH 3000 60,186047.8087214873
0x24ee2c6b9597f035088cda8575e9d5e15a84b9df,QNT-WETH 3000 60,185921.9086115061
0x70ac2e9f374cddaa3adb19aa0ffa953f9c00e83f,WILD-WETH 3000 60,173579.1684743703
0x7c7acba9e3474985c17f99430a6807c5ca29bb4d,WETH-RARI 10000 200,169921.82663469674
0x3cb75142bdae2bef3eb119affb288aeb0599dc4f,WETH-renBTC 3000 60,169276.08324346298
0x4585fe77225b41b697c938b018e2ac67ac5a20c0,WBTC-WETH 500 10,164145.19335481914
0x325365ed8275f6a74cac98917b7f6face8da533b,CHZ-WETH 10000 200,163043.62419784474
0x3a5dbafbac514a0b40dcdf3bc3ff7763da9d2d37,VSP-WETH 3000 60,160693.89061537207
0x5b781915b6b610a1aba8135ad5df084ffe528da4,WETH-SUPER 10000 200,158352.4182276461
0xc1df8037881df17dc88998824b9aea81c71bbb1b,FORTH-WETH 10000 200,155391.3720021027
0xced364623800f1ec98d8c19f9ab6f412148e5733,NFTFY-WETH 3000 60,154613.00816465175
0xd8c81e66a71fcfe8258b0cf84267275cdc91cac3,TRB-USDT 3000 60,150919.5867058655
0xc5bccf768e4242a0b518608b4843988ec5fb24d9,CHZ-USDC 10000 200,150378.80512660975
0x92f0b57e3814e4bd74ef6a6fd6d825db522ccfe2,SOUL-WETH 3000 60,145845.64755188295
0x2f62f2b4c5fcd7570a709dec05d68ea19c82a9ec,SHIB-WETH 3000 60,144674.46063622666
0xfaace66bd25abff62718abd6db97560e414ec074,WETH-RARI 3000 60,141582.30472851795
0x2418c488bc4b0c3cf1edfc7f6b572847f12ed24f,LYXe-WETH 10000 200,137944.36334030612
0xfbba47b4c4ded47aa154a1b6dc06ec207166fc13,WETH-MFT 3000 60,136719.78658930527
0xcd9dab5e666de980cecdc180cb31f296733e2587,AKITA-WETH 10000 200,133839.92117187244
0x655e25fed94ddb846601705ace4349815e2a95d1,KYL-WETH 3000 60,130676.65308805583
0x543842cbfef3b3f5614b2153c28936967218a0e6,ELON-USDT 10000 200,100227.8656181201
0x3fed392cde08fa170d6ef924eb886e7967fdf164,WETH-STAR 3000 60,94582.35143086917
0xf8a95b2409c27678a6d18d950c5d913d5c38ab03,GALA-WETH 3000 60,94244.14873248513
0x5654b1dd37af02f327d98c04b72acdf01ba2835c,IGG-WETH 3000 60,92985.59218494754
0x5b97b125cf8af96834f2d08c8f1291bd47724939,SAND-WETH 10000 200,92254.7271624323
0x0254a309f5140d457c0699e2cd0457a692a69cc4,KOIN-WETH 10000 200,90675.26776192365
0x5620f7b870cb69dd3e21def2ebc57fc78425cd94,WETH-VNTW 10000 200,90394.49047117941
0xd94fdb60194fefa7ef8b416f8ba99278ab3e00dc,DINU-WETH 10000 200,87666.8751256683
0xd0af1981f52146a6939385451daea0726e13a484,XYO-USDT 3000 60,84068.39320464797
0x552de0b5d94e4187e8d0cff4fedec1aec8cf8d56,CRO-WETH 3000 60,80703.53577590118
0xb0f2fca52066920620a90e2e5198f3edf7c28686,WETH-BONDLY 3000 60,79922.91755027082
0x122e55503a0b2e5cd528effa44d0b2fea300f24b,WOO-WETH 3000 60,72909.4105392024
0xa79e94cb24b2f2fc75b1d30a315cf2d266628a7c,UOS-USDT 3000 60,69184.80369567116
0xcdb0bacd8dc32c45dce0f97536646cd40835fd93,WETH-ATRI 3000 60,69088.93011835992
0x5494d3a61369460147d754f3562b769218e90e96,LPT-WETH 3000 60,67624.60829397252
0x43a4fbb71025fa2c3073a58fee6de69da33b3aa8,XRT-WETH 3000 60,67092.26432744732
0x4e57f830b0b4a82321071ead6ffd1df1575a16e2,WETH-AMP 10000 200,57219.32907832158
0x919fa96e88d67499339577fa202345436bcdaf79,WETH-CRV 3000 60,53501.60939054357
0x7f6ab5f1798761c610388fcb7e1178dcd7b4e8ad,WETH-EMB 10000 200,51304.22201435212
0x85205ea75a442f6897abef6b7e9d0c8e9366b57f,RVP-WETH 3000 60,47387.34379359197
0xeb05ab65ae6b24e51ddaca5b7cc4ef63a9914637,AKITA-USDT 10000 200,45282.46723968821
0xa16495105b1da7738d9aac1494459bd7982c05e4,GERO-WETH 10000 200,42000.765239448374
0xdceb026bdbeabef09b823de8cb76aacb899cf576,EL-WETH 3000 60,41855.37290322414
0x68f73e2180024db5b54e0e119d4f5128953f9417,MATIC-USDT 3000 60,41281.917983744825
0x64652315d86f5dfae30885fbd29d1da05b63add7,FTM-WETH 3000 60,40157.23876317599
0xb10adb35ea2f2490eb338bdc11dc723ad40f128f,WETH-KICK 10000 200,36221.29203918715
0xba965e77582566967d0edebe2b590e4ed8306095,STAKE-WETH 10000 200,35367.70844085897
0xd0effc6828972483db1c64106f71d6ad12606a53,DAI-MTA 3000 60,31728.166270644477
0x1c4f761649c3d4dd31a83ea0548f79585c3999ba,WETH-ID 3000 60,30855.0672011072
0xacdef3d53f2a487c0ab2ea68a1ce5e0bddf841ba,ETHA-WETH 3000 60,30416.661207959856
0x35b01400051a2c08bd90e4bee5e05b33519208c2,QUICK-USDT 3000 60,29791.107491660645
0x381fe4eb128db1621647ca00965da3f9e09f4fac,ELON-WETH 10000 200,28967.579801682354
0xa63b490aa077f541c9d64bfc1cc0db2a752157b5,DAI-USDC 3000 60,25195.794757619402
0xeb41030fbb8e54023a6891c514a8858b5c3f319c,jEUR-USDC 500 10,24956.950301353616
0x5d70c9d540437c09ea961c83fad69cfdc761e6f9,OIL-USDC 10000 200,24295.57591491484
0xf83d5aaab14507a53f97d3c18bdb52c4a62efc40,SOCKS-WETH 3000 60,24207.001799003647
0xb77c56f863fff3a9593a8716f2236c33df276950,⚗️-WETH 10000 200,21832.710173476626
0xd36dcec4b62a507baf71082bd865f88bef5e3efd,LEASH-SHIB 3000 60,20969.661982587044
0xc7fe2343cedffac84dbc5bf908e6910c107b8fa0,eMax-WETH 3000 60,20530.243084209556
0xac5a2c404ebba22a869998089ac7893ff4e1f0a7,LINK-USDT 3000 60,20286.34766333099
0xfad57d2039c21811c8f2b5d5b65308aa99d31559,LINK-USDC 3000 60,19299.275431118233
0xa44002e8062c90a8f8b3cfce6ec70990bba28ae5,WETH-ROOK 3000 60,18423.02630041901
0x1ad96c413367ebb4f9c8961a751cf144c9278592,USDC-GTC 10000 200,17014.186451450638
0xb773a5a7ee006d2675537588e3233ad37be53bb9,WETH-C3 10000 200,16721.168576024676
0x733a37b3774e3c079aa39a83c93b142ebd0d7e78,USDC-BPRO 10000 200,16067.982613495215
0x507c54914ca6cf2d4d833307d0357b8c2d148a0d,QTF-USDC 10000 200,16032.95418681514
