BLOCK_HOUR,POOL_ADDRESS,POOL_NAME,N_TRADES,N_TRADERS,TRADING_VOL_TOKEN0,TRADING_VOL_TOKEN1
2021-05-24T00:00:00Z,0x19a573b228468f3bf917389f4e2d4f2997610f71,WETH-PRE 10000 200,23,10,-3422.427716916253,97077.95881201798
2021-05-24T00:00:00Z,0x86d257cdb7bc9c0df10e84c8709697f92770b335,WETH-AMPL 3000 60,23,16,-414.02492422656235,45954.00186985546
2021-05-24T00:00:00Z,0x95311bbcf02608c64ec3889515af9fe43aea9e3a,WXT-WETH 10000 200,23,8,11347.030907521941,200794.12005025632
2021-05-24T00:00:00Z,0xcbbc981bd5b358d09a9346726115d3ac8822d00b,VXV-WETH 10000 200,23,12,-29233.58087530278,88285.46430652586
2021-05-24T00:00:00Z,0xefc19ba107bf1ce57a7ab5dea228fffb899abeb0,WETH-DIP 3000 60,23,17,27006.490784578164,71824.27813263432
2021-05-24T00:00:00Z,0x6ab3bba2f41e7eaa262fa5a1a9b3932fa161526f,WBTC-WETH 10000 200,22,5,22700.53838644854,25401.838056803106
2021-05-24T00:00:00Z,0x5b781915b6b610a1aba8135ad5df084ffe528da4,WETH-SUPER 10000 200,22,15,1948.0327683530531,19677.197706857176
2021-05-24T00:00:00Z,0x3a5dbafbac514a0b40dcdf3bc3ff7763da9d2d37,VSP-WETH 3000 60,22,13,-4912.7957762591095,52379.9220116646
2021-05-24T00:00:00Z,0xf8a95b2409c27678a6d18d950c5d913d5c38ab03,GALA-WETH 3000 60,22,15,1455.7794534634706,34142.818238055916
2021-05-24T00:00:00Z,0xf90321d0ecad58ab2b0c8c79db8aaeeefa023578,SPC-USDC 3000 60,22,7,-78581.3645360178,108722.61431337822
2021-05-24T00:00:00Z,0x5d475ce37b1d98127344132fadd80f5c5e1e1931,SKRT-WETH 3000 60,21,6,1494.4583899327654,24854.492028312034
2021-05-24T00:00:00Z,0xf9d00163f49fb4429714b50242524b43aa404c7b,DRC-WETH 3000 60,21,9,7729.194821521401,68730.4415398696
2021-05-24T00:00:00Z,0xa34f0d0314db32f41e1194816d56d55d1f7ca7b5,PRQ-WETH 10000 200,21,16,1146.347979391976,21563.561625355156
2021-05-24T00:00:00Z,0xb0f2fca52066920620a90e2e5198f3edf7c28686,WETH-BONDLY 3000 60,21,12,-479.16843023052866,10929.333888243113
2021-05-24T00:00:00Z,0xe331de28cd81b768c19a366b0e4e4675c45ec2da,XYO-WETH 3000 60,21,10,21024.95479393827,41697.87615329311
2021-05-24T00:00:00Z,0xe40a2eab69d4de66bccb0ac8e2517a230c6312e8,GTON-USDC 3000 60,21,11,-31637.12911953616,51175.30065256493
2021-05-24T00:00:00Z,0x84ae4aa9581e6b7f50f660c5b6970aef1ed82be8,PPAY-WETH 3000 60,21,16,-2403.112585566657,52612.97591339002
2021-05-24T00:00:00Z,0x35815d67f717e7bce9cc8519bdc80323ecf7d260,BNT-WETH 3000 60,21,14,1301.3286209808002,65606.01260253019
2021-05-24T00:00:00Z,0xc8bbbbe0586764c05969878a5e6e6b3556a9b05f,WETH-OMG 10000 200,21,9,35126.00602749828,68545.16925731931
2021-05-24T00:00:00Z,0xaafac42f553bbf80862fce24dac292eec5173f72,WETH-XCUR 3000 60,20,16,1205.9761197048233,19734.797160451268
2021-05-24T00:00:00Z,0xa80964c5bbd1a0e95777094420555fead1a26c1e,DAI-WETH 10000 200,20,7,2310.277766503965,3502.228982232338
2021-05-24T00:00:00Z,0xe086085b2cceec534d65fed8e59854c2dd66f741,WETH-WOOFY 3000 60,20,14,21841.248866087404,32126.69533691348
