HOUR,DEPOSITS,WITHDRAWALS
2021-05-17T10:00:00Z,10341060.459389417,-8384321.739193985
2021-05-17T09:00:00Z,2685606.0947006755,-796558.588511953
2021-05-17T08:00:00Z,2339548.819948492,-597195.847087752
2021-05-17T07:00:00Z,10024717.542995172,-7327929.369526906
2021-05-17T06:00:00Z,28692866.058204792,-14824345.800313603
2021-05-17T05:00:00Z,16076800.332297105,-3610359.6169879166
2021-05-17T04:00:00Z,8428625.907651963,-11938356.2310538
2021-05-17T03:00:00Z,11597680.376004197,-13980947.81155053
2021-05-17T02:00:00Z,53852396.652080074,-28821114.81192825
2021-05-17T01:00:00Z,7380173.38506123,-6974170.368202632
2021-05-17T00:00:00Z,4353545.677579221,-1994720.0352739603
2021-05-16T23:00:00Z,1605681.843411184,-1192319.5516293377
2021-05-16T22:00:00Z,15368302.081669651,-4117947.951329039
2021-05-16T21:00:00Z,9316325.991700223,-12229241.584032217
2021-05-16T20:00:00Z,2512851.285403491,-28173916.074769
2021-05-16T19:00:00Z,15037633.986111669,-25556173.222764906
2021-05-16T18:00:00Z,38588690.49856248,-39235804.88397649
2021-05-16T17:00:00Z,6818954.440993245,-4079894.916329124
2021-05-16T16:00:00Z,5621417.185671721,-7540461.149461233
2021-05-16T15:00:00Z,9947500.303021397,-2289896.0650890516
2021-05-16T14:00:00Z,3378106.9043258075,-2598450.2328638737
2021-05-16T13:00:00Z,3270551.3527903366,-5253695.856862865
2021-05-16T12:00:00Z,17018019.234179784,-454297.5749661961
2021-05-16T11:00:00Z,4414935.428515776,-2956588.3460530927
2021-05-16T10:00:00Z,2127650.0458340156,-685012.7214387516
2021-05-16T09:00:00Z,2921031.3398677125,-1982176.050144938
2021-05-16T08:00:00Z,2800961.1638970138,-325164.81714171346
2021-05-16T07:00:00Z,2931416.639474416,-979450.148237953
2021-05-16T06:00:00Z,6083984.012352301,-1562133.2347016814
2021-05-16T05:00:00Z,7313418.445856101,-1872082.9582193538
2021-05-16T04:00:00Z,4726108.3536426,-3496959.8343973164
2021-05-16T03:00:00Z,11209873.068984192,-1850339.2942044293
2021-05-16T02:00:00Z,8149450.00683195,-4982967.756676967
2021-05-16T01:00:00Z,1991960.819371736,-616309.9229756619
2021-05-16T00:00:00Z,9934866.01775702,-12596032.049535254
2021-05-15T23:00:00Z,4874084.584560947,-3935070.45728812
2021-05-15T22:00:00Z,5602026.109107687,-380223.30712526734
2021-05-15T21:00:00Z,16208400.218698166,-16065662.752272964
2021-05-15T20:00:00Z,6112346.699237723,-2214759.0040263236
2021-05-15T19:00:00Z,5300337.470686236,-3451104.091076193
2021-05-15T18:00:00Z,21311013.829808377,-10005800.220685706
2021-05-15T17:00:00Z,13262560.327087922,-20493950.434704877
2021-05-15T16:00:00Z,6633342.2653140705,-5290288.352562268
2021-05-15T15:00:00Z,8302839.628558309,-2981065.7427378427
2021-05-15T14:00:00Z,2524880.222356205,-2262733.0612925687
2021-05-15T13:00:00Z,7160374.780155043,-8235829.160014791
2021-05-15T12:00:00Z,6249912.92324771,-3593208.3020593394
2021-05-15T11:00:00Z,24059500.658217985,-29794534.46793683
2021-05-15T10:00:00Z,2743322.1667067315,-1640160.3712996887
2021-05-15T09:00:00Z,5290822.796799383,-1990012.4069497597
2021-05-15T08:00:00Z,5499528.503469491,-1276029.035794401
2021-05-15T07:00:00Z,3242955.692319735,-2727760.468892597
2021-05-15T06:00:00Z,2438409.9698317125,-833345.1175432265
2021-05-15T05:00:00Z,13845758.539804913,-1966749.2993026602
2021-05-15T04:00:00Z,11130849.42078408,-7205943.468197811
2021-05-15T03:00:00Z,5022973.877766189,-4198135.629050304
2021-05-15T02:00:00Z,7236189.822246948,-1625411.0984547308
2021-05-15T01:00:00Z,9866704.310729617,-6387140.017433755
2021-05-15T00:00:00Z,3100718.808500568,-1105022.4799340572
2021-05-14T23:00:00Z,265252.27302425384,-75159.64956804726
2021-05-14T22:00:00Z,3732462.4030573554,-1560973.609072333
2021-05-14T21:00:00Z,3188477.7935078945,-126960841.40463282
2021-05-14T20:00:00Z,4036723.0016944217,-827137.0138206603
2021-05-14T19:00:00Z,4995175.416877226,-6075307.741474933
2021-05-14T18:00:00Z,21296291.320906762,-16458989.076191504
2021-05-14T17:00:00Z,12388305.29329145,-7175664.615031513
2021-05-14T16:00:00Z,7292337.780398505,-5873983.299140457
2021-05-14T15:00:00Z,33804663.23717722,-5408114.928245776
2021-05-14T14:00:00Z,41611970.26275508,-1862371.8943013144
2021-05-14T13:00:00Z,7303357.24694921,-2288953.1497005904
2021-05-14T12:00:00Z,7500308.678603609,-1895055.692066701
2021-05-14T11:00:00Z,8541192.785116114,-5028559.928922033
